nohup: ignoring input
/home/ubuntu/telegram_project/bot.py:176: PTBUserWarning: If 'per_message=False', 'CallbackQueryHandler' will not be tracked for every message. Read this FAQ entry to learn more about the per_* settings: https://github.com/python-telegram-bot/python-telegram-bot/wiki/Frequently-Asked-Questions#what-do-the-per_-settings-in-conversationhandler-do.
  conv = ConversationHandler(
2025-12-27 05:52:05,093 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:52:15,254 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:52:25,415 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:52:35,576 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:52:45,737 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:52:55,900 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:53:06,061 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:53:16,221 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:53:26,381 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:53:36,542 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
2025-12-27 05:53:46,702 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot2123990609:AAF0MTb658CD15pPwAFWTsMesXMLiykRRNk/getUpdates "HTTP/1.1 200 OK"
